alpha,policy,mean_profit,p10_profit,mean_regret,p90_regret,maximum_regret,mean_promotion_count
2.255,nominal_dynamic,211.14670491860232,203.32652220013787,1.6455607790521178,5.477916046562982,14.53181217822737,4.0
2.395,dro,223.89264194433062,215.2458368518895,0.1679756408162158,0.21449956588660513,4.840188075931366,4.0
2.395,myopic,222.9312875620938,213.06812859886284,1.1293300230530376,2.2003567401021336,7.156807818287774,4.0
2.395,nominal_dynamic,223.98114455503833,215.28168886094127,0.07947303010850448,0.06538308878106132,4.876274257921182,4.0
2.4,dro,224.34795962492097,215.66860859006792,0.16402153042477485,0.2187393154450774,4.558063484196481,4.0
2.4,myopic,223.39119279740643,213.50106560976045,1.1207883579393463,2.1994957632070964,6.870903994911458,4.0
2.4,nominal_dynamic,224.43988310138036,215.7074427436226,0.07209805396538249,0.06613500723636684,4.590646285423759,4.0
2.405,dro,224.80327730551141,216.09138032824643,0.16106325109161357,0.22297906500349285,4.275938892461511,4.0
2.405,myopic,223.85109803271905,213.93400262065796,1.1132425238839527,2.1986347863120987,6.585000171535171,4.0
2.405,nominal_dynamic,224.89862164772245,216.133196626304,0.06571890888054957,0.06688692569165813,4.305018312926336,4.0
2.445,dro,228.4458187502346,219.47355423367426,0.15360294198018487,0.22546589245543752,2.0189421585820924,4.0
2.445,myopic,227.53033991522022,217.39749870783862,1.0690817769945655,2.1917469711519653,4.297769584524588,4.0
2.445,nominal_dynamic,228.5685300184591,219.53922768775487,0.03089167375571473,0.06970577865700654,2.019994532946839,4.0
2.45,dro,228.9707116031037,219.92254036233095,0.08631805857773098,0.14494368428205673,1.748917523642234,4.0
2.45,myopic,227.99024515053287,217.83043571873617,1.066784511148522,2.1908859942569414,4.0118657611481865,4.0
2.45,nominal_dynamic,229.0272685648012,219.96498157043627,0.029761096880238685,0.07041818435288119,1.7343665604493594,4.0
2.455,dro,229.4282931278443,220.34964823242686,0.08634450330371526,0.14748770535795497,1.4632910660597531,4.0
2.455,myopic,228.45015038584552,218.2633727296338,1.0644872453024772,2.1900250173619176,3.7259619377718707,4.0
2.455,nominal_dynamic,229.48600711114327,220.39073545311763,0.028630520004759415,0.07181925267276829,1.4487385879519081,4.0
2.495,dro,233.08894532576926,223.76651119319405,0.08936799295978579,0.16409439632253192,0.6936900147638312,4.0
2.495,myopic,232.12939226834672,221.7268688168144,1.0489210503823068,2.154887996562544,3.0795726864947426,4.0
2.495,nominal_dynamic,233.1559154818799,223.79676651456853,0.022397836849138552,0.08536437163230785,0.3150333604169191,4.0
2.5,dro,233.54652685050988,224.19361906328993,0.09088946136458637,0.16663790433432699,0.6909093505070416,4.0
