grid_name,weekly_capacity,alpha,value_of_dynamic_optimization,relative_VDO,dynamic_active_product_set,myopic_active_product_set,active_set_changed,active_set_symmetric_difference,product_promotion_count_disagreement,product_week_timing_disagreement,dynamic_binding_weeks,myopic_binding_weeks,dynamic_supported_share,myopic_supported_share
supported,3,1.7,1.6877264955046485,0.0009568613844278226,3800000110|3800000120,3800000110|3800000120,False,0,0,14,0,0,1.0,1.0
supported,3,1.75,1.6216555442406388,0.0009112299752686152,3800000110|3800000120,3800000110|3800000120,False,0,0,12,0,0,1.0,1.0
supported,3,1.8,1.57032779327983,0.0008746140400745684,3800000110|3800000120,3800000110|3800000120,False,0,0,12,0,0,1.0,1.0
supported,3,1.85,8.078298122604338,0.004475222819562114,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,3,17,1,4,1.0,0.6666666666666666
supported,3,1.9,5.08311677924803,0.0027805706951061298,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,1,19,1,4,1.0,1.0
supported,3,1.95,4.750149364908793,0.0025564463126318366,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,20,1,4,1.0,1.0
supported,3,2.0,4.660574785868221,0.0024683562667889764,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,16,1,4,1.0,1.0
supported,3,2.05,4.60850241494154,0.0024025749747718234,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,16,1,4,1.0,1.0
supported,3,2.1,4.57663742033651,0.0023491936069876167,1600066510|3800000110|3800000120,1600066510|3800000110|3800000120,False,0,0,14,2,4,1.0,1.0
supported,3,2.15,9.506305862863428,0.004815936360842777,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,3,19,2,4,1.0,1.0
supported,3,2.2,5.611926017602173,0.002790373204820095,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,22,2,4,1.0,1.0
supported,3,2.24,5.576558894602385,0.002732305781500766,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,20,2,4,1.0,1.0
supported,3,2.25,5.999921708305465,0.002929662860053631,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,18,2,4,1.0,1.0
supported,3,2.3,5.949503804524738,0.0028531111053503,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,3,4,1.0,1.0
supported,3,2.35,5.917297467549361,0.0027878283660290257,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,14,3,4,1.0,1.0
supported,3,2.4,5.9000063107805545,0.002731704907650379,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,12,2,4,1.0,1.0
supported,3,2.45,26.891887960274744,0.012357352515350367,1600066510|3800000110|3800000120|3800000127|3800001611,1600066510|3800000110|3800000120|3800000127|3800001611,False,0,3,17,2,4,1.0,1.0
supported,3,2.5,22.84180463949815,0.010294299891314095,1600066510|3800000110|3800000120|3800000127|3800001611,1600066510|3800000110|3800000120|3800000127|3800001611,False,0,3,17,2,4,1.0,1.0
supported,3,2.55,25.90108991213674,0.01148789624644021,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|3800000110|3800000120|3800000127|3800001520|3800001611,True,1,10,24,5,8,1.0,1.0
