upc,dynamic_profit,myopic_profit,vdo_contribution,alpha,capacity,washout_horizon
1600066590,531.9719934097901,531.9719934097901,0.0,2.2,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.2,1,12
3800000110,211.49000281406768,214.32666655254334,-2.8366637384756643,2.2,1,12
3800000120,485.30089361331517,479.06033286368825,6.240560749626923,2.2,1,12
3800000127,315.9430726272595,315.9430726272595,0.0,2.2,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.2,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.2,1,12
1600066510,593.6831237605802,596.2359892558106,-2.552865495230435,2.24,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.24,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.24,1,12
3800000110,212.07030968287503,205.93814311778178,6.132166565093257,2.24,1,12
3800000120,497.68926437859426,491.01064241624226,6.678621962351997,2.24,1,12
3800000127,317.06761750995014,320.8043186960294,-3.7367011860792445,2.24,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.24,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.24,1,12
1600066510,596.508068934781,599.1283368786983,-2.62026794391727,2.25,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.25,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.25,1,12
3800000110,212.2153864000769,202.62012967797958,9.595256722097332,2.25,1,12
3800000120,500.78635706991395,493.9982198043806,6.788137265533351,2.25,1,12
3800000127,317.3819509730227,323.55740638387783,-6.175455410855136,2.25,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.25,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.25,1,12
1600066510,610.6327948057849,613.5900749931366,-2.957280187351671,2.3,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.3,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.3,1,12
3800000110,205.44682016636847,202.62012967797958,2.8266904883888913,2.3,1,12
3800000120,516.2718205265127,508.93610674507295,7.335713781439722,2.3,1,12
3800000127,327.1364993331253,330.56235048492454,-3.425851151799236,2.3,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.3,1,12
3800001611,420.799896737785,420.799896737785,0.0,2.3,1,12
1600066510,624.757520676789,628.0518131075748,-3.2942924307858448,2.35,1,12
1600066590,531.9719934097901,531.9719934097901,0.0,2.35,1,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.35,1,12
3800000110,205.6590226045388,202.62012967797958,3.038892926559214,2.35,1,12
3800000120,531.7572839831116,523.8739936857655,7.883290297346093,2.35,1,12
3800000127,332.4200768210336,337.56729458597124,-5.147217764937636,2.35,1,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.35,1,12
