grid_name,weekly_capacity,alpha,policy,upc,product_name,value,promotion_count,total_depth,schedule_supported
supported,1,1.8,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.8,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.8,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.8,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.8,dynamic,3800000110,3800000110,114.9341136956215,4,0.36,True
supported,1,1.8,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.8,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.8,myopic,3800000120,3800000120,211.65891192881276,4,2.2,True
supported,1,1.8,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.8,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.8,myopic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.8,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.8,myopic,3800000110,3800000110,114.9341136956215,4,0.36,True
supported,1,1.85,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.85,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.85,dynamic,3800000120,3800000120,227.33491480477636,4,2.2,True
supported,1,1.85,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.85,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.85,dynamic,1600066510,1600066510,269.8931274414066,0,0.0,True
supported,1,1.85,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.85,dynamic,3800000110,3800000110,115.9517212587595,4,0.36,True
supported,1,1.85,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.85,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.85,myopic,3800000120,3800000120,226.4548256041209,4,2.2,True
supported,1,1.85,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.85,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.85,myopic,1600066510,1600066510,265.58684230470664,4,1.0,False
supported,1,1.85,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.85,myopic,3800000110,3800000110,115.9517212587595,4,0.36,True
supported,1,1.9,dynamic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.9,dynamic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.9,dynamic,3800000120,3800000120,241.25073927942918,4,2.2,True
supported,1,1.9,dynamic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.9,dynamic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.9,dynamic,1600066510,1600066510,274.4628589280446,3,1.5,True
supported,1,1.9,dynamic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.9,dynamic,3800000110,3800000110,116.9693288218975,4,0.36,True
supported,1,1.9,myopic,1600066610,1600066610,319.8865966796869,0,0.0,True
supported,1,1.9,myopic,1600066590,1600066590,270.52459716796875,0,0.0,True
supported,1,1.9,myopic,3800000120,3800000120,241.25073927942918,4,2.2,True
supported,1,1.9,myopic,3800001520,3800001520,221.67314147949202,0,0.0,True
supported,1,1.9,myopic,3800000127,3800000127,162.18809509277338,0,0.0,True
supported,1,1.9,myopic,1600066510,1600066510,271.99297554588304,4,2.0,True
supported,1,1.9,myopic,3800001611,3800001611,224.91093444824176,0,0.0,True
supported,1,1.9,myopic,3800000110,3800000110,117.39105121390023,4,0.36,True
