grid_name,weekly_capacity,alpha,value_of_dynamic_optimization,relative_VDO,dynamic_active_product_set,myopic_active_product_set,active_set_changed,active_set_symmetric_difference,product_promotion_count_disagreement,product_week_timing_disagreement,dynamic_binding_weeks,myopic_binding_weeks,dynamic_supported_share,myopic_supported_share,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,2,2.35,0.4848190957063707,0.0001641916783168497,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,10,7,8,1.0,1.0,12,6,18
empirical_w6,2,2.4,0.5046816752101222,0.00016878957722217517,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127,False,0,0,10,7,8,1.0,1.0,12,6,18
empirical_w6,2,2.45,24.40237249749316,0.008124999195856525,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127|3800001611,True,1,4,14,7,8,1.0,1.0,12,6,18
empirical_w6,2,2.5,19.0340345579134,0.006248863330878797,1600066510|3800000110|3800000120|3800000127,1600066510|3800000110|3800000120|3800000127|3800001611,True,1,4,14,7,8,1.0,1.0,12,6,18
empirical_w6,2,2.55,22.129227838768657,0.007184426458058246,1600066510|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,True,2,8,18,7,12,1.0,1.0,12,6,18
empirical_w6,2,2.6,8.110755788103233,0.002588627975083559,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,True,1,4,10,8,12,1.0,1.0,12,6,18
empirical_w6,2,2.65,2.954242573474403,0.0009272365515593014,1600066510|1600066590|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,True,1,4,26,8,12,1.0,1.0,12,6,18
empirical_w6,2,2.7,7.42971228446504,0.0022937022990355037,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127,1600066510|1600066590|3800000110|3800000120|3800000127|3800001611,True,2,8,24,12,12,1.0,1.0,12,6,18
empirical_w6,2,2.75,15.815096937417366,0.0048080365246393674,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,2,8,24,12,12,1.0,1.0,12,6,18
empirical_w6,2,2.8,11.441320006290425,0.0034130707810731487,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,2,8,24,12,12,1.0,1.0,12,6,18
empirical_w6,2,2.85,7.06754307516394,0.002069492386278536,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,2,8,24,12,12,1.0,1.0,12,6,18
empirical_w6,2,2.9,2.948940494934959,0.0008478810833705175,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,6,26,12,12,1.0,1.0,12,6,18
empirical_w6,2,2.95,0.6909205434326395,0.00019512489798994003,1600066510|1600066590|1600066610|3800000110|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,2,24,12,12,1.0,1.0,12,6,18
empirical_w6,2,3.0,0.1595821710425298,4.428143364065685e-05,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,False,0,0,16,12,12,1.0,1.0,12,6,18
empirical_w6,2,3.05,0.161486228227659,4.4041068398197405e-05,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,False,0,0,16,12,12,1.0,1.0,12,6,18
empirical_w6,2,3.1,0.16339028541278822,4.380881097767864e-05,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,False,0,0,16,12,12,1.0,1.0,12,6,18
empirical_w6,2,3.15,0.5526120637664462,0.00014571089582600266,1600066510|1600066590|1600066610|3800000120|3800000127|3800001520|3800001611,1600066510|1600066590|1600066610|3800000120|3800000127|3800001611,True,1,2,24,12,12,1.0,1.0,12,6,18
