alpha,scenario_id,scenario_weight,policy,discounted_profit,promotion_count,mean_promotion_depth,first_promotion_week,discount_path
2.1,24,0.023333333333333334,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,24,0.023333333333333334,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,25,0.01666666666666667,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,25,0.01666666666666667,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,25,0.01666666666666667,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,26,0.03833333333333332,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,26,0.03833333333333332,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,26,0.03833333333333332,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,27,0.02666666666666667,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,27,0.02666666666666667,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,27,0.02666666666666667,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,28,0.030000000000000002,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,28,0.030000000000000002,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,28,0.030000000000000002,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,29,0.005000000000000001,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,29,0.005000000000000001,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,29,0.005000000000000001,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,30,0.020000000000000004,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,30,0.020000000000000004,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,30,0.020000000000000004,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,31,0.030000000000000002,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,31,0.030000000000000002,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,31,0.030000000000000002,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,32,0.025000000000000005,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,32,0.025000000000000005,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,32,0.025000000000000005,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,33,0.03833333333333332,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,33,0.03833333333333332,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,33,0.03833333333333332,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,34,0.023333333333333338,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,34,0.023333333333333338,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,34,0.023333333333333338,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,35,0.023333333333333334,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,35,0.023333333333333334,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,35,0.023333333333333334,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,36,0.02166666666666667,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,36,0.02166666666666667,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,36,0.02166666666666667,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,37,0.005000000000000001,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,37,0.005000000000000001,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,37,0.005000000000000001,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,38,0.020000000000000004,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,38,0.020000000000000004,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,38,0.020000000000000004,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,39,0.028333333333333335,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,39,0.028333333333333335,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.1,39,0.028333333333333335,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,0,0.020000000000000004,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,0,0.020000000000000004,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,0,0.020000000000000004,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,1,0.025000000000000005,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,1,0.025000000000000005,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,1,0.025000000000000005,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,2,0.028333333333333335,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,2,0.028333333333333335,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,2,0.028333333333333335,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,3,0.03166666666666667,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,3,0.03166666666666667,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,3,0.03166666666666667,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,4,0.034999999999999996,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,4,0.034999999999999996,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,4,0.034999999999999996,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,5,0.010000000000000002,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,5,0.010000000000000002,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,5,0.010000000000000002,dro,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,6,0.020000000000000004,myopic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2.105,6,0.020000000000000004,nominal_dynamic,208.88001835160247,0,0.0,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
