alpha,method,schedule_id,week,discount_depth
2.315,myopic,3168,4,0.3
2.315,myopic,3168,5,0.0
2.315,myopic,3168,6,0.0
2.315,myopic,3168,7,0.3
2.315,myopic,3168,8,0.0
2.315,myopic,3168,9,0.0
2.315,myopic,3168,10,0.3
2.315,myopic,3168,11,0.0
2.315,myopic,3168,12,0.0
2.315,nominal_dynamic,2928,1,0.3
2.315,nominal_dynamic,2928,2,0.0
2.315,nominal_dynamic,2928,3,0.0
2.315,nominal_dynamic,2928,4,0.0
2.315,nominal_dynamic,2928,5,0.3
2.315,nominal_dynamic,2928,6,0.0
2.315,nominal_dynamic,2928,7,0.0
2.315,nominal_dynamic,2928,8,0.0
2.315,nominal_dynamic,2928,9,0.3
2.315,nominal_dynamic,2928,10,0.0
2.315,nominal_dynamic,2928,11,0.0
2.315,nominal_dynamic,2928,12,0.3
2.315,persistent_dro,138,1,0.0
2.315,persistent_dro,138,2,0.0
2.315,persistent_dro,138,3,0.0
2.315,persistent_dro,138,4,0.0
2.315,persistent_dro,138,5,0.0
2.315,persistent_dro,138,6,0.3
2.315,persistent_dro,138,7,0.0
2.315,persistent_dro,138,8,0.0
2.315,persistent_dro,138,9,0.3
2.315,persistent_dro,138,10,0.0
2.315,persistent_dro,138,11,0.0
2.315,persistent_dro,138,12,0.3
2.32,myopic,3168,1,0.3
2.32,myopic,3168,2,0.0
2.32,myopic,3168,3,0.0
2.32,myopic,3168,4,0.3
2.32,myopic,3168,5,0.0
2.32,myopic,3168,6,0.0
2.32,myopic,3168,7,0.3
2.32,myopic,3168,8,0.0
2.32,myopic,3168,9,0.0
2.32,myopic,3168,10,0.3
2.32,myopic,3168,11,0.0
2.32,myopic,3168,12,0.0
2.32,nominal_dynamic,2928,1,0.3
2.32,nominal_dynamic,2928,2,0.0
2.32,nominal_dynamic,2928,3,0.0
2.32,nominal_dynamic,2928,4,0.0
2.32,nominal_dynamic,2928,5,0.3
2.32,nominal_dynamic,2928,6,0.0
2.32,nominal_dynamic,2928,7,0.0
2.32,nominal_dynamic,2928,8,0.0
2.32,nominal_dynamic,2928,9,0.3
2.32,nominal_dynamic,2928,10,0.0
2.32,nominal_dynamic,2928,11,0.0
2.32,nominal_dynamic,2928,12,0.3
2.32,persistent_dro,903,1,0.0
2.32,persistent_dro,903,2,0.0
2.32,persistent_dro,903,3,0.3
2.32,persistent_dro,903,4,0.0
2.32,persistent_dro,903,5,0.0
2.32,persistent_dro,903,6,0.3
2.32,persistent_dro,903,7,0.0
2.32,persistent_dro,903,8,0.0
2.32,persistent_dro,903,9,0.3
2.32,persistent_dro,903,10,0.0
2.32,persistent_dro,903,11,0.0
2.32,persistent_dro,903,12,0.3
2.325,myopic,3168,1,0.3
2.325,myopic,3168,2,0.0
2.325,myopic,3168,3,0.0
2.325,myopic,3168,4,0.3
2.325,myopic,3168,5,0.0
2.325,myopic,3168,6,0.0
2.325,myopic,3168,7,0.3
2.325,myopic,3168,8,0.0
2.325,myopic,3168,9,0.0
2.325,myopic,3168,10,0.3
2.325,myopic,3168,11,0.0
2.325,myopic,3168,12,0.0
2.325,nominal_dynamic,2928,1,0.3
2.325,nominal_dynamic,2928,2,0.0
2.325,nominal_dynamic,2928,3,0.0
2.325,nominal_dynamic,2928,4,0.0
2.325,nominal_dynamic,2928,5,0.3
2.325,nominal_dynamic,2928,6,0.0
2.325,nominal_dynamic,2928,7,0.0
2.325,nominal_dynamic,2928,8,0.0
2.325,nominal_dynamic,2928,9,0.3
2.325,nominal_dynamic,2928,10,0.0
2.325,nominal_dynamic,2928,11,0.0
2.325,nominal_dynamic,2928,12,0.3
2.325,persistent_dro,1578,1,0.0
2.325,persistent_dro,1578,2,0.3
2.325,persistent_dro,1578,3,0.0
2.325,persistent_dro,1578,4,0.0
2.325,persistent_dro,1578,5,0.0
2.325,persistent_dro,1578,6,0.3
2.325,persistent_dro,1578,7,0.0
2.325,persistent_dro,1578,8,0.0
2.325,persistent_dro,1578,9,0.3
2.325,persistent_dro,1578,10,0.0
2.325,persistent_dro,1578,11,0.0
2.325,persistent_dro,1578,12,0.3
2.33,myopic,3168,1,0.3
2.33,myopic,3168,2,0.0
2.33,myopic,3168,3,0.0
2.33,myopic,3168,4,0.3
2.33,myopic,3168,5,0.0
2.33,myopic,3168,6,0.0
2.33,myopic,3168,7,0.3
2.33,myopic,3168,8,0.0
2.33,myopic,3168,9,0.0
2.33,myopic,3168,10,0.3
2.33,myopic,3168,11,0.0
2.33,myopic,3168,12,0.0
