grid_name,weekly_capacity,alpha,policy,upc,product_name,value,promotion_count,total_depth,schedule_supported,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,1,1.75,myopic,3800000110,3800000110,165.3254162766536,4,0.36,True,12,6,18
empirical_w6,1,1.8,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.8,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.8,dynamic,3800000120,3800000120,291.6558954302467,4,2.2,True,12,6,18
empirical_w6,1,1.8,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.8,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.8,dynamic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.8,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.8,dynamic,3800000110,3800000110,166.39990114402775,4,0.36,True,12,6,18
empirical_w6,1,1.8,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.8,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.8,myopic,3800000120,3800000120,291.6358439998628,4,2.2,True,12,6,18
empirical_w6,1,1.8,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.8,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.8,myopic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.8,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.8,myopic,3800000110,3800000110,166.3430238397916,4,0.36,True,12,6,18
empirical_w6,1,1.85,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.85,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.85,dynamic,3800000120,3800000120,306.45137225786823,4,2.2,True,12,6,18
empirical_w6,1,1.85,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.85,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.85,dynamic,1600066510,1600066510,398.87255859374886,0,0.0,True,12,6,18
empirical_w6,1,1.85,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.85,dynamic,3800000110,3800000110,167.41383048220473,4,0.36,True,12,6,18
empirical_w6,1,1.85,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.85,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.85,myopic,3800000120,3800000120,306.43175767517096,4,2.2,True,12,6,18
empirical_w6,1,1.85,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.85,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.85,myopic,1600066510,1600066510,391.8638921259245,4,1.0,False,12,6,18
empirical_w6,1,1.85,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.85,myopic,3800000110,3800000110,167.36063140292964,4,0.36,True,12,6,18
empirical_w6,1,1.9,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.9,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.9,dynamic,3800000120,3800000120,321.2276713504792,4,2.2,True,12,6,18
empirical_w6,1,1.9,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.9,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.9,dynamic,1600066510,1600066510,398.9515371443431,1,0.5,True,12,6,18
empirical_w6,1,1.9,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.9,dynamic,3800000110,3800000110,168.3782389660676,4,0.36,True,12,6,18
empirical_w6,1,1.9,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.9,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.9,myopic,3800000120,3800000120,321.2276713504792,4,2.2,True,12,6,18
empirical_w6,1,1.9,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.9,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.9,myopic,1600066510,1600066510,397.87629739697763,4,2.0,True,12,6,18
empirical_w6,1,1.9,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.9,myopic,3800000110,3800000110,168.42494020557405,4,0.36,True,12,6,18
empirical_w6,1,1.95,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.95,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.95,dynamic,3800000120,3800000120,336.0235850257874,4,2.2,True,12,6,18
empirical_w6,1,1.95,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.95,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.95,dynamic,1600066510,1600066510,412.17072118727356,4,2.0,True,12,6,18
empirical_w6,1,1.95,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.95,dynamic,3800000110,3800000110,169.39584652920564,4,0.36,True,12,6,18
empirical_w6,1,1.95,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,1.95,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,1.95,myopic,3800000120,3800000120,336.0235850257874,4,2.2,True,12,6,18
empirical_w6,1,1.95,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,1.95,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,1.95,myopic,1600066510,1600066510,412.0090935099919,4,2.0,True,12,6,18
empirical_w6,1,1.95,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,1.95,myopic,3800000110,3800000110,169.43745973634722,4,0.36,True,12,6,18
empirical_w6,1,2.0,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,2.0,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,2.0,dynamic,3800000120,3800000120,350.81949870109565,4,2.2,True,12,6,18
empirical_w6,1,2.0,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,2.0,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,2.0,dynamic,1600066510,1600066510,426.23285329818714,4,2.0,True,12,6,18
empirical_w6,1,2.0,dynamic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,2.0,dynamic,3800000110,3800000110,170.41345409234364,4,0.36,True,12,6,18
empirical_w6,1,2.0,myopic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,2.0,myopic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,2.0,myopic,3800000120,3800000120,350.81949870109565,4,2.2,True,12,6,18
empirical_w6,1,2.0,myopic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,2.0,myopic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
empirical_w6,1,2.0,myopic,1600066510,1600066510,426.14188962300614,4,2.0,True,12,6,18
empirical_w6,1,2.0,myopic,3800001611,3800001611,332.3937988281248,0,0.0,True,12,6,18
empirical_w6,1,2.0,myopic,3800000110,3800000110,170.4499792671204,4,0.36,True,12,6,18
empirical_w6,1,2.05,dynamic,1600066610,1600066610,472.7574157714848,0,0.0,True,12,6,18
empirical_w6,1,2.05,dynamic,1600066590,1600066590,399.8057861328117,0,0.0,True,12,6,18
empirical_w6,1,2.05,dynamic,3800000120,3800000120,365.6154123764038,4,2.2,True,12,6,18
empirical_w6,1,2.05,dynamic,3800001520,3800001520,327.6087036132809,0,0.0,True,12,6,18
empirical_w6,1,2.05,dynamic,3800000127,3800000127,239.69628906249972,0,0.0,True,12,6,18
