upc,train_units,train_rows,train_weeks,train_stores,train_promotion_rows,train_regular_rows,train_imputed_share,train_distinct_prices,train_log_price_sd,train_price_p10,train_price_p90,calibration_rows,calibration_weeks,calibration_stores,test_rows,test_weeks,test_stores,train_relative_price_range,adequate_train_weeks,adequate_calibration_weeks,adequate_test_weeks,adequate_store_coverage,adequate_distinct_prices,adequate_promotions,adequate_regular_rows,acceptable_imputation,adequate_price_range,eligible
1780010320,1491,218,8,37,0,218,0.7477064220183486,1,1.1204557112111812e-16,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
4300012974,1447,1737,33,85,225,1496,0.8606793321819228,10,0.15578506960734337,2.58,3.7760000000000007,50.0,1.0,50.0,5383.0,68.0,80.0,0.4635658914728684,False,False,True,True,True,True,True,False,True,False
1600062740,1390,402,13,41,0,402,0.8706467661691543,1,1.1210547252669152e-16,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
3800010900,1379,456,11,61,224,232,0.5855263157894737,6,0.07585054346645234,2.65,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.18867924528301883,False,False,False,True,False,True,True,False,True,False
1780016023,1303,313,6,61,16,297,0.38338658146964855,3,0.03483649442788292,2.85,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08070175438596494,False,False,False,True,False,False,True,False,False,False
4240091020,1243,3135,65,74,744,2128,0.8392344497607656,35,0.14501917205747059,4.05,4.61,32.0,2.0,16.0,0.0,0.0,0.0,0.13827160493827173,False,False,False,True,True,True,True,False,True,False
3800008100,1223,856,14,78,39,813,0.7336448598130841,3,0.029474432799304208,3.03,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.09570957095709565,False,False,False,True,False,True,True,False,False,False
3800008700,1113,359,7,72,17,342,0.49303621169916434,3,0.03330671896447029,2.89,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.07958477508650508,False,False,False,True,False,False,True,False,False,False
4300099100,1048,592,10,79,0,592,0.7584459459459459,1,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
3800000111,1043,270,9,42,0,270,0.774074074074074,1,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
1780016502,913,318,6,62,6,311,0.4559748427672956,4,0.04095815185709799,2.83,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08833922261484095,False,False,False,True,False,False,True,False,False,False
1600062640,856,108,9,27,29,77,0.25,8,0.32260212374828645,2.88,3.85,1689.0,60.0,34.0,0.0,0.0,0.0,0.3368055555555556,False,True,False,True,True,False,False,True,True,False
3800054275,854,327,7,73,46,226,0.44648318042813456,8,0.008382147286481718,4.59,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.02178649237472774,False,False,False,True,True,True,True,False,False,False
3800013930,800,98,4,68,0,98,0.09183673469387756,2,0.0050646342977965254,4.43,4.49,6054.0,72.0,85.0,5930.0,72.0,85.0,0.013544018058690765,False,True,True,True,False,False,False,True,False,False
4165345678,790,458,172,5,51,379,0.3471615720524017,8,0.10384099543369134,1.47,2.08,100.0,35.0,9.0,80.0,14.0,7.0,0.41496598639455784,True,False,False,False,True,True,True,False,True,False
3800054279,769,161,7,29,0,161,0.08695652173913043,1,2.2280373399391324e-16,6.89,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,True,False,False
4240091320,758,101,9,13,9,92,0.0297029702970297,10,0.028896054462075042,4.217,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.07659473559402419,False,False,False,True,True,False,False,True,False,False
5571206700,606,123,123,1,7,113,0.0,6,0.043525817027554495,1.59,1.75,59.0,59.0,1.0,71.0,71.0,1.0,0.10062893081761004,True,True,True,False,False,False,True,True,True,False
3800000801,571,201,5,46,0,201,0.8258706467661692,1,0.0,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
3800013644,571,668,15,71,0,668,0.9101796407185628,1,2.2391843228036144e-16,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
3000006920,472,827,19,60,1,826,0.875453446191052,4,0.01208978278755057,3.89,4.069999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.04627249357326457,False,False,False,True,False,False,True,False,False,False
3800002911,471,1184,21,74,0,1184,0.8488175675675675,1,1.1133372608256252e-16,1.99,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
3800004972,391,113,7,24,0,113,0.8761061946902655,1,1.1521328816827454e-16,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
1780010618,380,57,4,20,0,57,0.10526315789473684,2,0.005699215662247028,3.49,3.49,1942.0,60.0,43.0,0.0,0.0,0.0,0.0,False,True,False,True,False,False,False,True,False,False
3000043344,334,433,11,54,0,433,0.9353348729792148,1,2.261191577167823e-16,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True,False,False,False
