upc,product_name,alpha,dynamic_schedule_id,myopic_schedule_id,dynamic_promotion_count,myopic_promotion_count,dynamic_value,myopic_full_horizon_value,value_of_dynamic_optimization
1600066610,1600066610,3.05,3117,3168,4,4,350.7383579659463,349.3874319101968,1.3509260557494827
1600066610,1600066610,3.06,3117,3168,4,4,351.59100086689006,350.24308343811026,1.3479174287797946
1600066610,1600066610,3.07,3117,3168,4,4,352.4436437678338,351.0987349660237,1.3449088018101065
1600066610,1600066610,3.08,3117,3168,4,4,353.2962866687776,351.95438649393714,1.3419001748404753
1600066610,1600066610,3.09,3117,3168,4,4,354.1489295697213,352.81003802185046,1.338891547870844
1600066610,1600066610,3.1,3117,3168,4,4,355.0015724706651,353.6656895497639,1.3358829209012129
1600066610,1600066610,3.11,3117,3168,4,4,355.85421537160886,354.52134107767733,1.3328742939315248
1600066610,1600066610,3.12,3117,3168,4,4,356.7068582725526,355.3769926055908,1.3298656669618367
1600066610,1600066610,3.13,3117,3168,4,4,357.55950117349636,356.2326441335042,1.3268570399921487
1600066610,1600066610,3.14,3117,3168,4,4,358.4121440744401,357.08829566141765,1.3238484130224606
1600066610,1600066610,3.15,3117,3168,4,4,359.26478697538386,357.94394718933097,1.3208397860528862
