alpha,method,schedule_id,mean_profit,p10_profit,worst_profit,mean_regret,p90_regret,maximum_regret,promotion_count,total_discount_depth,first_promotion_week,oracle_promotion_share
2.195,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,1.278687917141115,4.792779388427777,10.04494373321532,0,0.0,,0.55
2.2,myopic,3168,205.28338249623528,197.46937923431398,184.91629714965822,5.029598364037759,11.40473365783689,23.963722991943342,4,1.2,1.0,0.585
2.2,nominal_dynamic,3,209.1650548992157,207.69535446166995,206.1994270324707,1.14792596105735,3.2876276016236377,8.01289196014406,1,0.3,12.0,0.585
2.2,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,1.4329607186714852,5.175859069824366,10.570417594909685,0,0.0,,0.585
2.205,myopic,3168,205.74494171852024,197.89285900115968,185.30397384643555,4.73755737222681,10.98716114044191,23.57604629516601,4,1.2,1.0,0.6299999999999999
2.205,nominal_dynamic,3,209.277368742609,207.79808015823366,206.29239355087282,1.2051303481380158,3.681007251739564,8.411226539611846,1,0.3,12.0,0.6299999999999999
2.205,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,1.6024789491454787,5.683824195861954,11.095891456604022,0,0.0,,0.6299999999999999
2.21,myopic,3168,206.20650094080517,198.3163387680054,185.6916505432129,4.4614553187991195,10.563681373596253,23.188369598388675,4,1.2,1.0,0.6799999999999999
2.21,nominal_dynamic,3,209.38968258600232,207.9008058547974,206.3853600692749,1.2782736736019458,4.07438690185549,8.809561119079575,1,0.3,12.0,0.6799999999999999
2.21,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,1.7879361180027304,6.191789321899521,11.62136531829833,0,0.0,,0.6799999999999999
2.215,myopic,3168,206.6680601630901,198.73981853485108,186.07932723999022,4.2064790090873885,10.140201606750624,22.80069290161134,4,1.2,1.0,0.725
2.215,nominal_dynamic,3,209.50199642939566,208.0035315513611,206.478326587677,1.3725427427818353,4.467766551971416,9.207895698547361,1,0.3,12.0,0.725
2.215,persistent_dro,0,208.8800201416016,208.88002014160156,208.88002014160156,1.9945190305759442,6.6997544479370985,12.146839179992668,0,0.0,,0.725
2.22,myopic,3168,207.12961938537507,199.1632983016968,186.46700393676758,3.9709837607557494,9.71672183990494,22.41301620483398,4,1.2,1.0,0.755
2.22,nominal_dynamic,3,209.614310272789,208.10625724792484,206.5712931060791,1.4862928733418426,4.845644677877431,9.606230278015147,1,0.3,12.0,0.755
