week,dynamic_profit,myopic_profit,vdo_contribution,cumulative_vdo,decision_week,alpha,capacity,washout_horizon
1,214.09792063215426,248.75190245790867,-34.653981825754414,-34.653981825754414,True,2.24,8,12
2,188.30721100249778,150.59965082447195,37.70756017802583,3.0535783522714155,True,2.24,8,12
3,114.9897283190442,116.0601248770627,-1.0703965580185013,1.9831817942529142,True,2.24,8,12
4,125.75020559106346,195.55661897484816,-69.8064133837847,-67.82323158953179,True,2.24,8,12
5,244.41602405999944,152.57777502413157,91.83824903586788,24.01501744633609,True,2.24,8,12
6,149.86130438515107,152.69224851748385,-2.8309441323327746,21.184073314003314,True,2.24,8,12
7,150.1664425412799,236.33356435321264,-86.16712181193273,-64.98304849792942,True,2.24,8,12
8,231.71480091270905,143.5434587901055,88.17134212260356,23.188293624674145,True,2.24,8,12
9,135.98246842154762,138.68169832052016,-2.6992298989725327,20.489063725701612,True,2.24,8,12
10,138.09264807948264,217.56101390679655,-79.4683658273139,-58.97930210161229,True,2.24,8,12
11,217.30965092185318,137.50828033093225,79.80137059092092,20.822068489308634,True,2.24,8,12
12,139.25259565386315,141.86673445246637,-2.6141387986032214,18.207929690705413,True,2.24,8,12
13,147.54320647483362,148.53570182050117,-0.9924953456675496,17.215434345037863,False,2.24,8,12
14,145.59801231226737,146.05449910507397,-0.45648679280660076,16.758947552231263,False,2.24,8,12
15,142.62803911277985,142.8692194049975,-0.24118029221764914,16.517767260013613,False,2.24,8,12
16,139.5785043024309,139.72946693784482,-0.15096263541391863,16.366804624599695,False,2.24,8,12
17,125.22072605125511,125.30450545464939,-0.08377940339427425,16.28302522120542,False,2.24,8,12
18,112.32356836385391,112.37364355467517,-0.05007519082126066,16.23295003038416,False,2.24,8,12
19,111.19995820866151,111.23646105612747,-0.03650284746595389,16.196447182918206,False,2.24,8,12
20,108.29052807496767,108.31828093224009,-0.02775285727241794,16.168694325645788,False,2.24,8,12
21,124.04573331330928,124.07099508809674,-0.025261774787452396,16.143432550858336,False,2.24,8,12
22,130.04152661630903,130.06287990478629,-0.021353288477257593,16.122079262381078,False,2.24,8,12
23,133.02201911962285,133.0402759353024,-0.01825681567953552,16.103822446701543,False,2.24,8,12
24,134.44283895902893,134.45894585462398,-0.01610689559504408,16.0877155511065,False,2.24,8,12
1,215.44735422918106,250.9140529904682,-35.46669876128715,-35.46669876128715,True,2.25,8,12
2,189.13336536418376,150.59965082447195,38.53371453971181,3.067015778424661,True,2.25,8,12
3,114.9897283190442,116.0601248770627,-1.0703965580185013,1.99661922040616,True,2.25,8,12
4,125.75020559106346,197.1550294276743,-71.40482383661083,-69.40820461620467,True,2.25,8,12
5,246.4217899172769,152.57777502413157,93.84401489314533,24.435810276940657,True,2.25,8,12
6,149.86130438515107,152.69224851748385,-2.8309441323327746,21.604866144607882,True,2.25,8,12
7,150.1664425412799,238.28217956011767,-88.11573701883776,-66.51087087422988,True,2.25,8,12
8,233.6299557506358,143.5434587901055,90.0864969605303,23.575626086300417,True,2.25,8,12
