alpha,policy,mean_profit,p10_profit,mean_regret,p90_regret,maximum_regret,mean_promotion_count,mean_promotion_depth,promotion_DGP_share,median_first_promotion_week
1.5,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.55,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.55,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.55,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.6,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.6,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.6,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.65,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.65,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.65,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.7,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.7,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.7,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.75,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.75,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.75,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.8,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.8,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.8,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.85,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.85,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.85,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.9,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.9,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.9,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.95,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.95,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
1.95,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
2.05,dro,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
2.05,myopic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
2.05,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0.0,0.0,0.0,0.0,0.0,
2.1,dro,208.88001835160247,208.88001835160247,0.030514959946836062,0.13292471730533723,0.44227186416105724,0.0,0.0,0.0,
2.1,myopic,208.88001835160247,208.88001835160247,0.030514959946836062,0.13292471730533723,0.44227186416105724,0.0,0.0,0.0,
2.1,nominal_dynamic,208.88001835160247,208.88001835160247,0.030514959946836062,0.13292471730533723,0.44227186416105724,0.0,0.0,0.0,
2.15,dro,208.88001835160247,208.88001835160247,0.2944327535776005,0.8224429133577141,2.48415967164712,0.0,0.0,0.0,
2.15,myopic,208.88001835160247,208.88001835160247,0.2944327535776005,0.8224429133577141,2.48415967164712,0.0,0.0,0.0,
2.15,nominal_dynamic,208.88001835160247,208.88001835160247,0.2944327535776005,0.8224429133577141,2.48415967164712,0.0,0.0,0.0,
2.2,dro,208.88001835160247,208.88001835160247,1.2068077016994287,4.686162761375968,7.582360148350688,0.0,0.0,0.0,
2.2,myopic,204.9949833849006,196.18358517385738,5.0918426684013145,11.78237634427132,20.987643303080745,4.0,0.3,1.0,1.0
2.2,nominal_dynamic,209.1043904028045,207.5848347626231,0.9824356504974179,2.821327244142107,5.525230874495236,1.0,0.3,1.0,12.0
2.25,dro,210.22357117778003,208.60488175657127,2.2726097202116895,6.318741930935622,9.390038055957405,1.0,0.3,1.0,12.0
2.25,myopic,209.594035738027,200.5129552828331,2.9021451599646926,7.805877223640231,17.198939903191672,4.0,0.3,1.0,1.0
2.25,nominal_dynamic,210.68874126679316,202.8945309516443,1.8074396311985386,5.801302781219595,14.910406667337384,4.0,0.3,1.0,1.0
2.3,dro,211.34275195275558,209.62492875051942,4.594721512456693,10.149325321580093,13.254845237419545,1.0,0.3,1.0,12.0
2.3,myopic,214.1930880911535,204.84232539180888,1.7443853740587756,4.5592426803699295,13.410236503302599,4.0,0.3,1.0,1.0
2.3,nominal_dynamic,215.26837778488436,207.19236508999535,0.6690956803279136,2.567435434653367,11.124461776237212,4.0,0.3,1.0,1.0
2.35,dro,219.79478281901697,211.4408912082831,0.2810639241376601,0.2143055698741666,7.379309401545811,4.0,0.3,1.0,3.0
2.35,myopic,218.79214044427994,209.17169550078467,1.2837062988746677,2.659126850356225,9.729942228674702,4.0,0.3,1.0,1.0
2.35,nominal_dynamic,219.8480143029755,211.44990391680898,0.22783244017909712,0.15067236927324787,7.446926010398158,4.0,0.3,1.0,1.0
2.4,dro,224.34795962492097,215.66860859006792,0.16402153042477485,0.2187393154450774,4.558063484196481,4.0,0.3,1.0,3.0
2.4,myopic,223.39119279740643,213.50106560976045,1.1207883579393463,2.1994957632070964,6.870903994911458,4.0,0.3,1.0,1.0
2.4,nominal_dynamic,224.43988310138036,215.7074427436226,0.07209805396538249,0.06613500723636684,4.590646285423759,4.0,0.3,1.0,1.0
2.45,dro,228.9707116031037,219.92254036233095,0.08631805857773098,0.14494368428205673,1.748917523642234,4.0,0.3,1.0,1.0
2.45,myopic,227.99024515053287,217.83043571873617,1.066784511148522,2.1908859942569414,4.0118657611481865,4.0,0.3,1.0,1.0
2.45,nominal_dynamic,229.0272685648012,219.96498157043627,0.029761096880238685,0.07041818435288119,1.7343665604493594,4.0,0.3,1.0,1.0
2.5,dro,233.54652685050988,224.19361906328993,0.09088946136458637,0.16663790433432699,0.6909093505070416,4.0,0.3,1.0,1.0
2.5,myopic,232.58929750365937,222.15980582771192,1.048118808215084,2.1545119886304795,3.079317034064502,4.0,0.3,1.0,1.0
2.5,nominal_dynamic,233.61465402822196,224.22252039724992,0.02276228365247126,0.08657007504675623,0.3134767176337334,4.0,0.3,1.0,1.0
