grid_name,weekly_capacity,alpha,policy,category_value,promotion_count,total_discount_depth,maximum_weekly_promotions,binding_weeks,slot_utilization,active_product_count,active_product_set,supported_promoted_product_share
supported,2,1.45,dynamic,1747.3415645470614,1,0.09,1,0,0.041666666666666664,1,3800000110,1.0
supported,2,1.45,myopic,1745.3140465136762,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0
supported,2,1.5,dynamic,1747.5916008138652,1,0.09,1,0,0.041666666666666664,1,3800000110,1.0
supported,2,1.5,myopic,1746.3367676881944,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0
supported,2,1.55,dynamic,1748.089673927843,3,0.27,1,0,0.125,1,3800000110,1.0
supported,2,1.55,myopic,1747.3594888627126,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0
supported,2,1.6,dynamic,1749.0721290976203,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0
supported,2,1.6,myopic,1748.382210037231,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0
supported,2,1.65,dynamic,1751.2036963324538,8,1.81,2,4,0.3333333333333333,2,3800000110|3800000120,1.0
supported,2,1.65,myopic,1749.8131187362262,8,1.56,2,4,0.3333333333333333,2,3800000110|3800000120,1.0
supported,2,1.7,dynamic,1765.5027607011787,8,2.56,2,3,0.3333333333333333,2,3800000110|3800000120,1.0
supported,2,1.7,myopic,1763.815034205674,8,2.56,2,4,0.3333333333333333,2,3800000110|3800000120,1.0
supported,2,1.75,dynamic,1781.2553245997415,8,2.56,2,2,0.3333333333333333,2,3800000110|3800000120,1.0
supported,2,1.75,myopic,1779.6336690555008,8,2.56,2,4,0.3333333333333333,2,3800000110|3800000120,1.0
supported,2,1.8,dynamic,1797.0226316986073,8,2.56,2,2,0.3333333333333333,2,3800000110|3800000120,1.0
supported,2,1.8,myopic,1795.4523039053274,8,2.56,2,4,0.3333333333333333,2,3800000110|3800000120,1.0
supported,2,1.85,dynamic,1812.8064333885497,8,2.56,2,1,0.3333333333333333,2,3800000110|3800000120,1.0
supported,2,1.85,myopic,1805.7247204203195,12,3.56,2,4,0.5,3,1600066510|3800000110|3800000120,0.6666666666666666
supported,2,1.9,dynamic,1832.7453874302691,11,4.0600000000000005,2,2,0.4583333333333333,3,1600066510|3800000110|3800000120,1.0
supported,2,1.9,myopic,1828.2909798489397,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0
supported,2,1.95,dynamic,1862.4401615193672,12,4.5600000000000005,2,3,0.5,3,1600066510|3800000110|3800000120,1.0
supported,2,1.95,myopic,1858.3083162821515,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0
supported,2,2.0,dynamic,1892.377189879416,12,4.5600000000000005,2,2,0.5,3,1600066510|3800000110|3800000120,1.0
supported,2,2.0,myopic,1888.3256527153637,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0
supported,2,2.05,dynamic,1922.3502828570586,12,4.5600000000000005,2,3,0.5,3,1600066510|3800000110|3800000120,1.0
supported,2,2.05,myopic,1918.3429891485755,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0
supported,2,2.1,dynamic,1952.3420559621636,12,4.5600000000000005,2,3,0.5,3,1600066510|3800000110|3800000120,1.0
supported,2,2.1,myopic,1948.3603255817875,12,4.5600000000000005,2,4,0.5,3,1600066510|3800000110|3800000120,1.0
supported,2,2.15,dynamic,1982.8554312202514,13,5.0600000000000005,2,4,0.5416666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.15,myopic,1974.1082214694407,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.2,dynamic,2016.2144793766322,16,6.5600000000000005,2,5,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.2,myopic,2011.3502971714322,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.24,dynamic,2045.981854654946,16,6.5600000000000005,2,6,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.24,myopic,2041.1439577330257,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.25,dynamic,2053.4252226477843,16,6.5600000000000005,2,6,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.25,myopic,2048.5923728734238,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.3,dynamic,2090.6420626119752,16,6.5600000000000005,2,6,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.3,myopic,2085.8344485754155,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.35,dynamic,2127.858902576166,16,6.5600000000000005,2,6,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.35,myopic,2123.0765242774073,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.4,dynamic,2165.0964790681187,16,6.5600000000000005,2,7,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.4,myopic,2160.3185999793986,16,6.5600000000000005,2,8,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.45,dynamic,2202.358417349615,16,6.5600000000000005,2,7,0.6666666666666666,4,1600066510|3800000110|3800000120|3800000127,1.0
supported,2,2.45,myopic,2180.8900864084153,20,8.16,2,8,0.8333333333333334,5,1600066510|3800000110|3800000120|3800000127|3800001611,1.0
