grid_name,upc,product_name,schedule_id,candidate_id,nominal_base,nominal_exposure,promotion_count,total_depth,minimum_action_support,schedule_supported,occupancy_pattern,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,decision_horizon,washout_horizon,evaluation_horizon
empirical_w0,1600066610,1600066610,50,empirical_w0|1600066610|50,303.77561703999834,4.793784512678783,2,0.1,283,True,000000100100,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,52,empirical_w0|1600066610|52,169.73178754806517,56.16891716162365,2,0.55,44,True,000000100100,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,63,empirical_w0|1600066610|63,175.11643009821574,54.622330780029316,1,0.5,44,True,000000100000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,66,empirical_w0|1600066610|66,36.96538442806652,107.74049679120381,2,1.0,44,True,000000100001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,12,0,12
empirical_w0,1600066610,1600066610,69,empirical_w0|1600066610|69,34.96096572016909,107.88521060625713,2,1.0,44,True,000000100010,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,12,0,12
empirical_w0,1600066610,1600066610,72,empirical_w0|1600066610|72,34.36932420315842,107.89284092585244,2,1.0,44,True,000000100100,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,73,empirical_w0|1600066610|73,311.6982977930704,2.4282539939880357,1,0.05,283,True,000001000000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,12,0,12
empirical_w0,1600066610,1600066610,74,empirical_w0|1600066610|74,304.03084069569906,4.78417658050855,2,0.1,283,True,000001000001,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,12,0,12
empirical_w0,1600066610,1600066610,75,empirical_w0|1600066610|75,269.60356441497817,18.31067383448283,2,0.3,69,True,000001000001,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.25,12,0,12
empirical_w0,1600066610,1600066610,76,empirical_w0|1600066610|76,173.17558146794633,55.689739680290224,2,0.55,44,True,000001000001,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.5,12,0,12
empirical_w0,1600066610,1600066610,77,empirical_w0|1600066610|77,303.8225975163778,4.79573285460472,2,0.1,283,True,000001000010,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,12,0,12
empirical_w0,1600066610,1600066610,78,empirical_w0|1600066610|78,268.56054934183766,18.388573482036588,2,0.3,69,True,000001000010,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.25,0.0,12,0,12
