grid_name,weekly_capacity,alpha,policy,category_value,promotion_count,total_discount_depth,maximum_weekly_promotions,binding_weeks,slot_utilization,active_product_count,active_product_set,supported_promoted_product_share,decision_horizon,washout_horizon,evaluation_horizon
empirical_w6,2,1.55,dynamic,2582.003306468483,1,0.09,1,0,0.041666666666666664,1,3800000110,1.0,12,6,18
empirical_w6,2,1.55,myopic,2581.6048550990786,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0,12,6,18
empirical_w6,2,1.6,dynamic,2582.7745514144863,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0,12,6,18
empirical_w6,2,1.6,myopic,2582.627576273597,4,0.36,1,0,0.16666666666666666,1,3800000110,1.0,12,6,18
empirical_w6,2,1.65,dynamic,2583.905139901318,7,1.2599999999999998,2,3,0.2916666666666667,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.65,myopic,2583.701569849131,8,1.56,2,4,0.3333333333333333,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.7,dynamic,2597.5993884916284,8,2.56,2,1,0.3333333333333333,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.7,myopic,2597.426858880279,8,2.56,2,4,0.3333333333333333,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.75,dynamic,2613.392357931929,8,2.56,2,1,0.3333333333333333,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.75,myopic,2613.245493730106,8,2.56,2,4,0.3333333333333333,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.8,dynamic,2629.1917309455844,8,2.56,2,1,0.3333333333333333,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.8,myopic,2629.064128579932,8,2.56,2,4,0.3333333333333333,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.85,dynamic,2644.9997547420235,8,2.56,1,0,0.3333333333333333,2,3800000110|3800000120,1.0,12,6,18
empirical_w6,2,1.85,myopic,2637.718179501969,12,3.56,2,4,0.5,3,1600066510|3800000110|3800000120,0.6666666666666666,12,6,18
empirical_w6,2,1.9,dynamic,2660.889664128699,9,3.06,2,2,0.375,3,1600066510|3800000110|3800000120,1.0,12,6,18
