alpha,scenario_id,scenario_weight,policy,discounted_profit,oracle_profit,regret,promotion_count,mean_promotion_depth,first_promotion_week,first_discount
0.35,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.4,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.4,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.4,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.45,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.45,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.45,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.5,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.5,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.5,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.55,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.55,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.55,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.6,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.6,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.6,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.65,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.65,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.65,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.7,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.7,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.7,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.75,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.75,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.75,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.8,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.8,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.8,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.85,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.85,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.85,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.9,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.9,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.9,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.95,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.95,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.95,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.0,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.0,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.0,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.05,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.05,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.05,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.1,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.1,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.1,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.15,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.15,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.15,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.2,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.2,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.2,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.25,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.25,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.25,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.3,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.3,0,0.020000000000000004,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.3,0,0.020000000000000004,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
1.35,0,0.020000000000000004,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
