upc,depth_cluster,observations,panels,stores,median_observed_depth,mean_observed_depth,supported
3800000120,0.25,33,14,14,0.23979591836734693,0.24874544162180667,True
3800000120,0.3,54,14,14,0.29929577464788726,0.2980485195886398,True
3800000120,0.35,20,12,12,0.3697183098591549,0.3629591000296695,True
3800000120,0.4,12,9,9,0.391156462585034,0.3921620160742992,False
3800000120,0.45,1,1,1,0.4642857142857143,0.4642857142857143,False
3800000120,0.5,20,12,12,0.502092050209205,0.5017917688820932,True
3800000120,0.55,36,15,15,0.5512195121951219,0.5516583867400432,True
3800000120,0.6,5,5,5,0.5887096774193548,0.5898940477797273,False
3800000120,0.65,15,15,15,0.6514084507042253,0.652100690530152,True
3800000127,0.05,145,15,15,0.04297994269340988,0.04086649160683112,True
3800000127,0.1,119,15,15,0.08399999999999996,0.0904256446146998,True
3800000127,0.15,45,9,9,0.13180515759312328,0.13912524241391538,True
3800000127,0.2,11,9,9,0.20080321285140568,0.19987724574911606,False
3800000127,0.25,9,9,9,0.24905660377358485,0.2457686543160812,False
3800000127,0.3,15,14,14,0.30395136778115506,0.29980218482812887,True
3800000127,0.35,5,4,4,0.32844574780058655,0.33226479496178074,False
3800000127,0.4,2,2,2,0.399648924389152,0.399648924389152,False
3800000127,0.45,17,12,12,0.45896656534954405,0.4556312589715945,True
3800000127,0.5,30,15,15,0.5014326647564471,0.4971401255035387,True
3800000127,0.55,2,2,2,0.5687679083094556,0.5687679083094556,False
3800000127,0.6,15,15,15,0.604,0.6037970772947555,True
3800001520,0.05,222,15,15,0.03147699757869249,0.03812501378821483,True
3800001520,0.1,64,14,14,0.08895137208744747,0.09320894439408746,True
3800001520,0.15,12,5,5,0.1524547803617572,0.14660174447534066,False
3800001520,0.2,17,11,11,0.19003868471953578,0.18995517274778814,True
3800001520,0.25,7,3,3,0.24316109422492393,0.24650726427285768,False
3800001520,0.3,6,4,4,0.28486767469818314,0.2891499233534221,False
3800001520,0.35,24,11,11,0.3682539682539683,0.3604865990111892,True
3800001520,0.4,15,6,6,0.3951367781155015,0.39796148876567194,True
3800001520,0.45,3,3,3,0.4459016393442623,0.4486523119261947,False
3800001520,0.5,30,14,14,0.4864864864864865,0.48905638096320503,True
3800001520,0.55,2,1,1,0.5338345864661654,0.5338345864661654,False
3800001520,0.7,1,1,1,0.7223001402524545,0.7223001402524545,False
3800001611,0.05,158,15,15,0.056140350877193046,0.04765902908776096,True
3800001611,0.1,81,14,14,0.09352978859705308,0.09665377086340228,True
3800001611,0.15,9,6,6,0.15204678362573099,0.1522823599701096,False
3800001611,0.2,5,5,5,0.21843003412969286,0.21135835661095878,False
3800001611,0.25,12,10,10,0.2683706070287539,0.26315822458788163,False
3800001611,0.3,7,6,6,0.30395136778115506,0.2977726926611582,False
3800001611,0.35,11,10,10,0.3682539682539683,0.36040769492905395,False
3800001611,0.4,23,15,15,0.3987915407854985,0.40029720348091663,True
