split,model,risk_version,promotion_indicator,n,pinball_loss,coverage,coverage_gap,mean_predicted_risk,median_predicted_risk,exceedance_rate,mean_positive_exceedance
validation,recent_only,online_corrected,1,256,43.94940992595042,0.84375,-0.05625000000000002,349.1689834978404,304.60769249113355,0.15625,21.577618409355278
validation,constant_by_promotion,online_corrected,all,3197,5.68918167195602,0.9117923052862058,0.011792305286205784,34.49187915369995,16.92349236731035,0.08820769471379418,3.77802398425175
validation,constant_by_promotion,online_corrected,0,2941,2.456739190755565,0.916695001700102,0.016695001700101963,16.873027420619557,16.842528344491367,0.083304998299898,1.3493532418085252
validation,constant_by_promotion,online_corrected,1,256,42.824390020434684,0.85546875,-0.04453125000000002,236.9022031653774,232.88950458801827,0.14453125,31.67927653708583
validation,recent_q90_by_promotion,online_corrected,all,3197,7.385322951262552,0.8598686268376603,-0.04013137316233972,35.444883798026765,15.20526405700432,0.1401313731623397,5.3788647991256004
validation,recent_q90_by_promotion,online_corrected,0,2941,2.5222144282048653,0.8636518191091466,-0.036348180890853454,13.85512513036902,15.048936641182777,0.13634818089085346,1.7166187082828785
validation,recent_q90_by_promotion,online_corrected,1,256,63.254081413421375,0.81640625,-0.08359375000000002,283.4741034917042,242.69277080521084,0.18359375,47.45177789743983
test,full_reliability,raw,all,8588,25.33392148969841,0.8782021425244527,-0.0217978574755473,80.24824862772174,15.456220979817289,0.12179785747554728,21.362932652177644
test,full_reliability,raw,0,7441,7.8620510829714565,0.8826770595350087,-0.017322940464991277,16.102964144936404,14.48450492918938,0.11732294046499127,7.534473010669208
test,full_reliability,raw,1,1147,138.68020544475968,0.8491717523975588,-0.0508282476024412,496.3816939951201,243.22867394978888,0.15082824760244115,111.07310544421276
test,full_reliability,online_corrected,all,8588,25.514127428106637,0.88996273870517,-0.010037261294830069,87.59074036215499,16.62376624949883,0.11003726129482999,20.80888941714254
test,full_reliability,online_corrected,0,7441,7.854735053896933,0.8911436634860905,-0.00885633651390949,17.004814237409764,15.66000664879675,0.10885633651390943,7.436971972347347
test,full_reliability,online_corrected,1,1147,140.07693358023772,0.8823016564952049,-0.017698343504795155,545.5069359107418,270.9142299482036,0.11769834350479512,107.55730938812863
test,support_only,raw,all,8588,25.16752636545271,0.8733115975780158,-0.026688402421984225,76.62750709959626,16.380889200098036,0.12668840242198418,21.558611680744495
test,support_only,raw,0,7441,7.900175481960805,0.8801236392957936,-0.019876360704206397,16.349986991266842,15.343756579617338,0.11987636070420643,7.547895125025509
test,support_only,raw,1,1147,137.18701888861162,0.8291194420226679,-0.07088055797733217,467.6693790490985,226.42268391293712,0.17088055797733218,112.45115038266684
test,support_only,online_corrected,all,8588,25.24047991249463,0.8911271541686073,-0.008872845831392695,84.53744014560839,17.849626457470194,0.10887284583139265,20.8405719231852
test,support_only,online_corrected,0,7441,7.8932385706470685,0.8932939121085876,-0.006706087891412471,17.73892107369821,16.747210275019988,0.10670608789141245,7.4020648054686395
test,support_only,online_corrected,1,1147,137.77825046584047,0.8770706190061028,-0.022929380993897186,517.8833690157772,257.847039329607,0.12292938099389712,108.02098296322787
test,recent_only,raw,all,8588,23.852841865403754,0.8755239869585468,-0.024476013041453193,61.84157528575294,15.099683686686577,0.12447601304145318,21.722520362079866
test,recent_only,raw,0,7441,7.861400449922655,0.8845585270796936,-0.015441472920306398,16.18530533704661,14.423128011695633,0.1154414729203064,7.5255882584093845
test,recent_only,raw,1,1147,127.59505247795376,0.8169136878814298,-0.0830863121185702,358.03015827470125,205.4720780977694,0.18308631211857018,113.8231060494487
test,recent_only,online_corrected,all,8588,23.908315786995676,0.8920586865393573,-0.007941313460642752,70.39293339830324,15.894489081868732,0.10794131346064276,20.922858472416756
test,recent_only,online_corrected,0,7441,7.857815306435824,0.8926219594140572,-0.007378040585942824,16.906683538468766,15.175841271491096,0.10737804058594275,7.449865294780337
test,recent_only,online_corrected,1,1147,128.0336637171141,0.8884045335658239,-0.011595466434176083,417.37740175665397,236.50277261542237,0.11159546643417612,108.3269929404138
test,constant_by_promotion,online_corrected,all,8588,23.729858374072922,0.8849557522123894,-0.015044247787610598,49.59989931997824,16.96195110838551,0.11504424778761062,22.823704467326504
test,constant_by_promotion,online_corrected,0,7441,8.021863198649179,0.8889934148635936,-0.0110065851364064,16.834627366126877,16.822011752161917,0.11100658513640639,7.62111880422788
test,constant_by_promotion,online_corrected,1,1147,125.63325166119418,0.8587619877942458,-0.04123801220575418,262.1599591356784,263.15508512649865,0.14123801220575413,121.44832514659143
test,recent_q90_by_promotion,online_corrected,all,8588,23.916178209940007,0.8775034932463903,-0.022496506753609702,56.428949305464634,17.37543059163018,0.1224965067536097,22.327119304644953
test,recent_q90_by_promotion,online_corrected,0,7441,8.076541084870055,0.8785109528289209,-0.021489047171079134,16.314753612258283,15.850748720272911,0.12148904717107915,7.727784065835615
test,recent_q90_by_promotion,online_corrected,1,1147,126.67357999515843,0.8709677419354839,-0.029032258064516148,316.66411072930816,297.58838478067696,0.12903225806451613,117.0382383211927
