upc,dynamic_profit,myopic_profit,vdo_contribution,alpha,capacity,washout_horizon
3800000127,371.60330414319714,369.56916726140406,2.0341368817930743,2.53,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.53,2,12
3800001611,420.799896737785,405.5109673375291,15.288929400255881,2.53,2,12
1600066510,683.0064179424403,670.1231189475649,12.883298994875418,2.54,2,12
1600066590,531.9719934097901,519.5977796595516,12.374213750238482,2.54,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.54,2,12
3800000110,222.59496208192644,223.07768682912933,-0.4827247472028944,2.54,2,12
3800000120,590.6020451181868,580.6379640603968,9.96408105778994,2.54,2,12
3800000127,373.2278662195795,371.13086946636105,2.096996753218434,2.54,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.54,2,12
3800001611,420.799896737785,406.52136511152963,14.278531626255358,2.54,2,12
1600066510,685.898765565328,672.8416764370062,13.057089128321763,2.55,2,12
1600066590,531.9719934097901,521.7809811734638,10.191012236326287,2.55,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.55,2,12
3800000110,222.80057542272937,223.28787080772847,-0.48729538499910063,2.55,2,12
3800000120,593.6991378095065,583.6255414485353,10.073596360971237,2.55,2,12
3800000127,374.8524282959618,372.6925716713179,2.159856624643851,2.55,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.55,2,12
3800001611,420.799896737785,407.5317628855301,13.268133852254891,2.55,2,12
1600066510,688.7911131882157,675.5602339264477,13.230879261767996,2.56,2,12
1600066590,531.9719934097901,523.964182687376,8.007810722414092,2.56,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.56,2,12
3800000110,223.0061887635323,223.4980547863276,-0.4918660227953069,2.56,2,12
3800000120,596.7962305008263,586.6131188366738,10.18311166415242,2.56,2,12
3800000127,376.4769903723442,374.2542738762749,2.2227164960692676,2.56,2,12
3800001520,421.8072541043035,421.8072541043035,0.0,2.56,2,12
3800001611,420.799896737785,408.5421606595306,12.257736078254368,2.56,2,12
1600066510,691.6834608111034,678.2787914158889,13.404669395214455,2.57,2,12
1600066590,531.9719934097901,526.1473842012881,5.824609208502011,2.57,2,12
1600066610,593.8574049460657,593.8574049460657,0.0,2.57,2,12
3800000110,223.21180210433516,223.7082387649267,-0.49643666059154157,2.57,2,12
