upc,product_name,action,bin_center,support_count,support_panels,support_stores,depth_q10,depth_q50,depth_q90,supported,selected_for_grid,selection_reason
3800000127,3800000127,0.57,0.55,2,2,2,0.567621776504298,0.5687679083094556,0.5699140401146131,False,False,below_support_threshold
3800000127,3800000127,0.59,0.6,4,4,4,0.5892116182572614,0.5892116182572614,0.590399849113542,False,False,below_support_threshold
1600066510,1600066510,0.0,0.0,3753,15,15,0.0,0.0,0.0,True,True,reference_action
1600066510,1600066510,0.06,0.05,158,15,15,0.03861003861003842,0.05622489959839361,0.07181856362872752,True,True,supported_representative
1600066510,1600066510,0.09,0.1,63,13,13,0.07531380753138084,0.08786610878661083,0.10766749004385746,True,False,below_support_threshold
1600066510,1600066510,0.14,0.15000000000000002,8,6,6,0.12552301255230136,0.1357027463651052,0.15896414342629472,False,False,below_support_threshold
1600066510,1600066510,0.19,0.2,4,4,4,0.1807228915662651,0.18997830402068044,0.20572756175103935,False,False,below_support_threshold
1600066510,1600066510,0.25,0.25,73,15,15,0.24892583434173376,0.2510460251046025,0.2530120481927711,True,True,supported_representative
1600066510,1600066510,0.3,0.30000000000000004,6,5,5,0.29765098128362505,0.29811320754716975,0.30896629998253883,False,False,below_support_threshold
1600066510,1600066510,0.35,0.35000000000000003,5,5,5,0.3372844987051424,0.35146443514644354,0.3605537041784158,False,False,below_support_threshold
1600066510,1600066510,0.41,0.4,1,1,1,0.4136546184738956,0.4136546184738956,0.4136546184738956,False,False,below_support_threshold
1600066510,1600066510,0.47,0.45,18,12,12,0.44055770250814585,0.46586345381526106,0.4724793020564409,True,False,below_support_threshold
1600066510,1600066510,0.5,0.5,36,15,15,0.4840626254516258,0.5018451189454907,0.5033106379680112,True,True,supported_representative
3800001611,3800001611,0.0,0.0,3806,15,15,0.0,0.0,0.0,True,True,reference_action
3800001611,3800001611,0.05,0.05,172,15,15,0.03252680266288811,0.05275966970882229,0.07174430465827963,True,True,supported_representative
3800001611,3800001611,0.09,0.1,81,14,14,0.08253968253968247,0.09352978859705308,0.11525423728813566,True,True,supported_representative
3800001611,3800001611,0.15,0.15000000000000002,9,6,6,0.13719885667619433,0.15204678362573099,0.1649462365591398,False,False,below_support_threshold
3800001611,3800001611,0.22,0.2,5,5,5,0.20072412905640963,0.21843003412969286,0.21843003412969286,False,False,below_support_threshold
3800001611,3800001611,0.27,0.25,12,10,10,0.25163398692810457,0.2683706070287539,0.27301587301587293,False,False,below_support_threshold
3800001611,3800001611,0.3,0.30000000000000004,7,6,6,0.28186178890382907,0.30395136778115506,0.31248025276461294,False,False,below_support_threshold
3800001611,3800001611,0.37,0.35000000000000003,11,10,10,0.335423197492163,0.3682539682539683,0.3712480252764613,False,False,below_support_threshold
3800001611,3800001611,0.4,0.4,23,15,15,0.37926511022579923,0.3987915407854985,0.41812865497076024,True,True,supported_representative
3800000110,3800000110,0.0,0.0,4018,15,15,0.0,0.0,0.0,True,True,reference_action
3800000110,3800000110,0.07,0.05,117,15,15,0.037714285714285777,0.06586826347305386,0.07428571428571418,True,True,supported_representative
3800000110,3800000110,0.09,0.1,34,12,12,0.08883341882428449,0.09222591362126242,0.11054980947196516,True,True,supported_representative
3800000110,3800000110,0.13,0.15000000000000002,4,3,3,0.1274285714285714,0.13142857142857145,0.14058464079273328,False,False,below_support_threshold
3800000110,3800000110,0.2,0.2,1,1,1,0.19565217391304357,0.19565217391304357,0.19565217391304357,False,False,below_support_threshold
