alpha,capacity,decision_horizon,washout_horizon,evaluation_horizon,dynamic_profit,myopic_profit,vdo,vdo_percent,dynamic_promotion_count,myopic_promotion_count,dynamic_binding_weeks,myopic_binding_weeks,dynamic_active_set,myopic_active_set,dynamic_schedule_signature,myopic_schedule_signature,best_second_gap,minimum_chosen_support,median_chosen_support,minimum_chosen_panels,maximum_terminal_state_dynamic,maximum_terminal_state_myopic,action_disagreements,status_disagreements,depth_disagreements,disagreement_rate,timing_shift_products,same_action_multiset_products,dynamic_active_products,myopic_active_products,active_set_equal,economic_profile_mode,dynamic_schedule_signature_previous,myopic_schedule_signature_previous,dynamic_active_set_previous,myopic_active_set_previous,dynamic_schedule_change,myopic_schedule_change,dynamic_active_set_change,myopic_active_set_change,any_policy_boundary,relative_best_second_gap
2.55,1,12,12,24,3806.1680729945633,3806.168056879945,1.6114618119900115e-05,4.2338167624447606e-07,12,12,12,12,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,e58d5814db899666,e58d5814db899666,2.2925095768032406,30.0,36.0,15.0,0.02345055820396392,0.02345055820396392,0,0,0,0.0,0,8,3,3,True,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,False,False,False,False,0.0006023143310640962
2.6,1,12,12,24,3842.5726430672125,3842.5726260361225,1.7031090010277694e-05,4.4322103100615777e-07,12,12,12,12,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,e58d5814db899666,e58d5814db899666,2.2216550852699584,30.0,36.0,15.0,0.02345055820396392,0.02345055820396392,0,0,0,0.0,0,8,3,3,True,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,False,False,False,False,0.0005781686624137813
2.65,1,12,12,24,3878.9772131398618,3878.9771951923,1.7947561900655273e-05,4.626879973127948e-07,12,12,12,12,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,e58d5814db899666,e58d5814db899666,2.1508005937357666,30.0,36.0,15.0,0.02345055820396392,0.02345055820396392,0,0,0,0.0,0,8,3,3,True,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,False,False,False,False,0.00055447621255676
2.7,1,12,12,24,3915.3817832125114,3915.3817643484776,1.8864033791032853e-05,4.8179296238235e-07,12,12,12,12,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,e58d5814db899666,e58d5814db899666,2.0799461022024843,30.0,36.0,15.0,0.02345055820396392,0.02345055820396392,0,0,0,0.0,0,8,3,3,True,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,False,False,False,False,0.0005312243396341084
2.75,1,12,12,24,3951.7863532851607,3951.786333504655,1.9780505681410432e-05,5.005459306770775e-07,12,12,12,12,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,e58d5814db899666,e58d5814db899666,2.0090916106682926,30.0,36.0,15.0,0.02345055820396392,0.02345055820396392,0,0,0,0.0,0,8,3,3,True,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,False,False,False,False,0.0005084008676223384
2.8,1,12,12,24,3988.19092335781,3988.190902660832,2.0696978026535362e-05,5.189565527750138e-07,12,12,12,12,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,e58d5814db899666,e58d5814db899666,1.9382371191350103,30.0,36.0,15.0,0.02345055820396392,0.02345055820396392,0,0,0,0.0,0,8,3,3,True,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,False,False,False,False,0.0004859940650742805
2.85,1,12,12,24,4024.5954934304596,4024.5954718170096,2.161344991691294e-05,5.370340961784907e-07,12,12,12,12,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,e58d5814db899666,e58d5814db899666,1.8673826276012733,30.0,36.0,15.0,0.02345055820396392,0.02345055820396392,0,0,0,0.0,0,8,3,3,True,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,False,False,False,False,0.00046399262501026293
2.9,1,12,12,24,4061.0000635031083,4061.000040973187,2.252992135254317e-05,5.547875184739976e-07,12,12,12,12,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,e58d5814db899666,e58d5814db899666,1.7965281360675363,30.0,36.0,15.0,0.02345055820396392,0.02345055820396392,0,0,0,0.0,0,8,3,3,True,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,False,False,False,False,0.0004423856458937879
2.95,1,12,12,24,4097.4046335757575,4097.404610129364,2.344639324292075e-05,5.722254810998637e-07,12,12,12,12,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,e58d5814db899666,e58d5814db899666,0.8524445847151583,30.0,36.0,15.0,0.02345055820396392,0.02345055820396392,0,0,0,0.0,0,8,3,3,True,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,False,False,False,False,False,0.00020804500920653272
3.0,1,12,12,24,4134.081485976146,4133.809179285542,0.2723066906037275,0.006587306738014235,12,12,12,12,1600066510|1600066590|3800000120|3800000127,1600066510|3800000120|3800000127,a1011ccc84f69f45,e58d5814db899666,0.2722823277390489,30.0,36.0,15.0,0.024977340860717148,0.02345055820396392,18,18,0,0.1875,2,6,4,3,False,weekly_predicted_demand_fixed_product_price_cost,e58d5814db899666,e58d5814db899666,1600066510|3800000120|3800000127,1600066510|3800000120|3800000127,True,False,True,False,True,6.586283523019557e-05
3.05,1,12,12,24,4171.610782961249,4168.816057774822,2.7947251864270584,0.06703882223862838,12,12,12,12,1600066510|1600066590|3800000120|3800000127,1600066510|1600066590|3800000120|3800000127,a1011ccc84f69f45,663f4369ff8db4bf,0.778344179443593,30.0,36.0,15.0,0.024977340860717148,0.02345055820396392,18,18,0,0.1875,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,a1011ccc84f69f45,e58d5814db899666,1600066510|1600066590|3800000120|3800000127,1600066510|3800000120|3800000127,False,True,False,True,True,0.00018658120806061383
3.1,1,12,12,24,4209.140079946353,4206.499189880653,2.6408900656997503,0.06278118564845553,12,12,12,12,1600066510|1600066590|3800000120|3800000127,1600066510|1600066590|3800000120|3800000127,a1011ccc84f69f45,663f4369ff8db4bf,0.8923635584469594,30.0,36.0,15.0,0.024977340860717148,0.02345055820396392,18,18,0,0.1875,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,a1011ccc84f69f45,663f4369ff8db4bf,1600066510|1600066590|3800000120|3800000127,1600066510|1600066590|3800000120|3800000127,False,False,False,False,False,0.0002120061441286917
3.15,1,12,12,24,4246.669376931455,4244.182321986483,2.487054944972442,0.058599154237284984,12,12,12,12,1600066510|1600066590|3800000120|3800000127,1600066510|1600066590|3800000120|3800000127,a1011ccc84f69f45,663f4369ff8db4bf,1.0063829374503257,30.0,36.0,15.0,0.024977340860717148,0.02345055820396392,18,18,0,0.1875,4,8,4,4,True,weekly_predicted_demand_fixed_product_price_cost,a1011ccc84f69f45,663f4369ff8db4bf,1600066510|1600066590|3800000120|3800000127,1600066510|1600066590|3800000120|3800000127,False,False,False,False,False,0.00023698170215867255
3.2,1,12,12,24,4284.198673916559,4280.760108390077,3.4385655264813977,0.08032605050075056,12,12,12,12,1600066510|1600066590|3800000120|3800000127,1600066510|1600066590|3800000120|3800000127,a1011ccc84f69f45,d6f32bafec0feeee,1.120402316453692,30.0,36.0,15.0,0.024977340860717148,0.02345055820396392,18,18,0,0.1875,2,6,4,4,True,weekly_predicted_demand_fixed_product_price_cost,a1011ccc84f69f45,663f4369ff8db4bf,1600066510|1600066590|3800000120|3800000127,1600066510|1600066590|3800000120|3800000127,False,True,False,False,True,0.00026151969171621885
